REPORTE DESCONSOLIDACION / PROVISION,,,,,,,,,,,,,,ARRIBO,,PROVISION,FACTURACIÓN,
"FECHA DE DES-
CONSOLIDACION",ME,LINEA,CODIGO EMBALAJE,USO/MARCHAMO,OPERATIVO,OT,CLIENTE,B/L HOUSE,B/L MASTER,NUMERO CNTR.,TOTAL DE CONTENEDORES,NAVIERA,BARCO,ETA BARCO,ETA CONFIRMADA,FECHA DE PROVISION,NUMERO DE DTE,FECHA DE FACTURA
15/05/2025,275,39/1,CT,24,ALBERTO,25OT707,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE030222,NGP2142952,TCLU6458339,1,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
15/05/2025,275,40/1,CT,24,ALBERTO,25OT710,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE030223,NGP2142958,FSCU8772550,1,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
15/05/2025,275,61/1,CT,23,INGRID,25OT820,"JUGUESAL, S.A. DE C.V.",SYNNGB25SE030828,NGP2166823,SEGU6430008,1,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
15/05/2025,275,75/1,PK,23,ERNESTO,25OT891,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE030925,NGP2173281,"TRHU8592815, SEKU5829533",2,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
15/05/2025,275,76/1,CT,23,ALBERTO,25OT881,"JURO, S.A. DE C.V.",SYNNGB25SE030923,NGP2173794,CMAU4983993,1,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
15/05/2025,275,77/1,CT,23,ALBERTO,25OT622,"JURO, S.A. DE C.V.",YNNGB25SE03103601,NGP2177483,SEGU5221678,1,CMA CGM,X-PRESS MACHU PICCHU 0M306N1MA,17/05/2025,22/05/2025,19/05/2025,,
26/05/2025,304,58/1,BX,23,NANCY,25OT928,JUAN FEDERICO SALAVARIA QUIROS,BIO001059,MEDUE1395759,"MSNU2646983, MSCU5470786",2,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,59/1,CS,24,ALBERTO,25OT780,INTRALOGIX S.A. DE C.V/CATCO CORP,LPFE2502000397,MEDUOJ397928,"TIIU5900735, TXGU5447031",2,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,60/1,BX,23,CELINA,25OT988,"ALMACENES SIMAN, S.A. DE C.V.",FARGYE250582,MEDUF9213234,TRHU6870687,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,61/1,BX,23,CELINA,25OT1300,"ALMACENES SIMAN, S.A. DE C.V.",FARGYE250859,MEDUF9250327,TXGU4338416,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,62/1,PK,23,NANCY,25OT1039,"SAVONA, S.A. DE C.V.",MERAQJ5884,MEDUXK239382,"SEGU2968280, MEDU5474345",2,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,63/1,CT,23,NANCY,25OT661,MIGUEL ANGEL SALINAS CANALES,SYNTAO25SE020381,MEDUQU421705,TCLU9528954,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,64/1,CT,23,NANCY,25OT983,"DISTRIBUIDORA TC, S.A. DE C.V.",CKOE25003503,MEDUGJ024272,MSMU5070202,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,3/06/2025,,
26/05/2025,304,65/1,PK,23,NANCY,25OT1600,"GIBSON Y CIA, SUCESORES",SHOE25009152,MEDUGJ177690,FCIU2900341,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,66/1,PK,23,NANCY,25OT1601,"GIBSON Y CIA, SUCESORES",SHOE25009153,MEDUGJ248970,CRXU3391674,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,67/1,PK,23,INGRID,25OT954,"JUGUESAL, S.A. DE C.V.",EX9025030646,MEDURD904237,MSMU1244918,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,68/1,RO,23,MARCELA,25OT889,"INDUSTRIAS CAPRI, S.A. DE C.V.",XNOE25001482,MEDUYY863357,FDCU0235026,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
26/05/2025,304,69/1,RO,23,MARCELA,25OT890,"INDUSTRIAS CAPRI, S.A. DE C.V.",XNOE25001481,MEDUYY863365,MSMU6092546,1,MSC,MSC CARLA III XA520A,26/05/2025,30/05/2025,30/05/2025,,
23/05/2025,296,10/1,PK,23,MARCELA,25OT930,"ALPINA, LTDA. DE C.V.",SYNSHA25SE040041,CHN2119400,"CMAU8410325, CMAU6112722, CMAU2593300",3,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
23/05/2025,296,25/1,PK,24,ALBERTO,25OT1019,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNSHA25SE040145,CHN2135421,APZU4356998,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,296,31/1,PX,23,ERNESTO,25OT1070,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE040198,CHN2138578,TIIU5150986,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
23/05/2025,296,44/1,CT,23,CELINA,25OT1198,"ALMACENES SIMAN, S.A. DE C.V.",SYNSHA25SE041153,CHN2176610,"TCNU6760855, TCNU5212564",2,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,296,73/1,PX,23,ERNESTO,25OT921,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNCAN25SE030666,GGZ2483312,SEKU5739912,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,296,83/1,PK,23,ERNESTO,25OT817,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNHKG25SE030016,HKA2518866,TCLU4607840,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,296,84/1,PK,23,ERNESTO,25OT742,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNHKG25SE040002,HKA2519514,CAAU7092902,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,13/1,CT,24,ALBERTO,25OT852,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE040006,NGP2173833,CAAU6252328,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,22/1,CT,23,INGRID,25OT923,"CORPORACION MERCANTIL SALVADOREÑA, S.A. DE C.V.",SYNNGB25SE040022,NGP2186727,CMAU4920038,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,25/1,CT,23,REBECA,25OT926,"INDUSTRIAS FACELA, S.A. DE C.V.",SYNNGB25SE040019,NGP2191944,TXGU8284426,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,32/1,CT,23,NANCY,25OT968,"SAVONA, S.A. DE C.V.",2503Q001341,NGP2192624,"SEKU6622915, CRSU9202930, CMAU9647899",3,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,33/1,PK,23,MARCELA,25OT1085,"QUIMICAS CONSOLIDADAS, S.A. DE C.V.",SYNNGB25SE031371,NGP2194779,TCNU3229906,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,41/1,CT,23,REBECA,25OT974,"INDUSTRIAS FACELA, S.A. DE C.V.",NBOE25013963,NGP2201821,CGMU5108053,1,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,42/1,CT,24,ALBERTO,25OT986,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE040087,NGP2202250,"TCLU4262769, CMAU8380600, APZU4779834, TCKU4388338, TRDU4310544",5,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
24/05/2025,297,43/1,CT,24,ALBERTO,25OT987,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNNGB25SE040088,NGP2202252,"CMAU5880773, ECMU7727323, GESU6515482, TCNU3007386",4,CMA CGM,MAGDALENA SCHULTE 0M308N1MA,2/06/2025,2/06/2025,26/05/2025,,
5/06/2025,318,57/1,CT,23,ALBERTO,25OT1344,"ALCANCE INTEGRAL EL SALVADOR, S.A. DE C.V.",SYNNKG25SE040136,JNG0248607,"CAIU9241818, CMAU3494935",2,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,318,62/1,CT,23,ERNESTO,25OT1017,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE040105,NGP2210508,GESU6875940,1,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,320,39/1,PK,23,JONATHAN,25OT1237,"CENTRO DE SERVICIO DOÑO, S.A. DE C.V.",SYNTAO25SE040414,QGD1749412,"SEKU6469745, CMAU4462439",2,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
6/06/2025,320,44/1,CR,23,NANCY,25OT1272,"INDUSTRIAS CONSOLIDADAS, LTDA DE C.V",SYNTAO25SE040549,QGD1754447,"CMAU0312019, PRSU1565227, ECMU2105517",3,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,320,62/1,PX,23,ERNESTO,25OT1296,"AMERICAN IMPORTS, S.A. DE C.V.",PDES00100238,SEL1896878,CMAU2827570,1,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,320,90/1,CT,23,ERNESTO,25OT1016,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNCAN25SE030665,SHZ7118192,TCNU6934469,1,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
,321,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,SHZ7130809,PLG SV,PLG SV,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,321,58/1,CT,23,CELINA,25OT1127,"ALMACENES SIMAN, S.A. DE C.V.",SYNTSN25SE040130,TJN0615320,FCIU9346150,1,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,321,60/1,PK,23,MARCELA,25OT966,"ALMACENES BOU, S.A. DE C.V.",2503Q001375B,TJN0615492,ECMU2605370,1,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
5/06/2025,321,84/1,CT,23,ERNESTO,25OT967,JUAN ARNOLDO VILLATORO SEGOVIA,SYNSHA25SE031404,TWN0945694,"TRHU8454251, TCLU6577770, CMAU5517541, CMAU5264715, CMAU6531441, GCXU6136126",6,CMA CGM,X-PRESS MACHU PICCHU 0M30AN1MA ,7/06/2025,20/06/2025,6/06/2025,,
11/06/2025,334,151/1,CT,23,JONATHAN,25OT1268,"JUGUESAL, S.A. DE C.V.",VLC011048,MEDUD8995208,MSDU1817090,1,MSC,MSC DAR ES SALAAM III LO522A,14/06/2025,19/06/2025,9/06/2025,,
11/06/2025,334,152/1,CT,24,ALBERTO,25OT1276,INTRALOGIX S.A. DE C.V/CATCO CORP,LPFE2504000788,MEDUVZ541925,TGBU7982749,1,MSC,MSC DAR ES SALAAM III LO522A,14/06/2025,19/06/2025,9/06/2025,,
11/06/2025,334,153/1,PK,24,ALBERTO,25OT1432,INTRALOGIX S.A. DE C.V/CATCO CORP,LPFE2504000884,MEDUVZ849781,"SEGU6259390, MSMU7366045, MEDU6355417",3,MSC,MSC DAR ES SALAAM III LO522A,14/06/2025,19/06/2025,9/06/2025,,
11/06/2025,334,154/1,PK,23,NANCY,25OT1291,"COMERCIAL INDUSTRIAL OLLINS, S.A. DE C.V.",US2550460,MEDUOJ238262,MSMU5280359,1,MSC,MSC DAR ES SALAAM III LO522A,14/06/2025,19/06/2025,9/06/2025,,
11/06/2025,334,155/1,PE,23,NANCY,25OT1856,"CADEJO BREWING COMPANY, S.A. DE C.V.",SYNTAO25SE040418,MEDUQV098502,MSMU6624649,1,MSC,MSC DAR ES SALAAM III LO522A,14/06/2025,19/06/2025,9/06/2025,,
16/06/2025,343,115/1,RL,24,MARCELA,25OT1628,NEXT WAVE CENTRAL AMERICA,DE2561206,MEDURM289548,TEMU5121422,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,116/1,BX,24,JONATHAN,25OT1090,"POLITORNO DE CENTROAMERICA, S.A. DE C.V.",RIOACL2504001,MEDURJ768841,MSNU7150996,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,117/1,CT,23,NANCY,25OT1491,INVERSIONES LOVO BONILLA S.A DE C.V.,RIGACL2503001,MEDUFM022903,"TGBU5731831, TCLU5188352, DFSU7151213, MSMU8167053, BEAU5831998, GLDU7516200",6,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,118/1,CT,23,NANCY,25OT1492,INVERSIONES LOVO BONILLA S.A DE C.V.,RIGACL2503002,MEDUFM022945,"GLDU7697670, MSDU7634692, TGBU4254349, TGHU6090694, TRHU6243727",5,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,119/1,BX,24,JONATHAN,25OT868,"POLITORNO DE CENTROAMERICA, S.A. DE C.V.",RIGACL2503003,MEDUFM026326,MSMU8829611,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,120/1,BX,23,NANCY,25OT1494,"INVERSIONES LOVO BONILLA S.A DE C.V.
",RIGACL2504003,MEDUFM032746,"MSDU7872704
",1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,121/1,CT,23,NANCY,25OT1493,INVERSIONES LOVO BONILLA S.A. DE C.V.,RIGACL2504001,MEDUFM032753,FFAU1245968,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,122/1,BX,23,NANCY,25OT1606,"INVERSIONES LOVO BONILLA S.A DE C.V.
",RIGACL2504002,MEDUFM032787,GLDU7693696,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,123/1,BX,24,JONATHAN,25OT1294,"POLITORNO DE CENTROAMERICA, S.A. DE C.V.",RIGACL2504004,MEDUFM037844,GESU6790150,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,25/06/2025,,
18/06/2025,343,124/1,PK,23,NANCY,25OT1967,"COMPAÑIA GENERAL DE EQUIPOS, S.A. DE C.V.",EM0325088216,MEDUFX485958,MSMU5411417,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,125/1,UN,23,MARCELA,25OT1939,"DISTRIBUIDORA COMERCIAL MENDOZA, S.A. DE C.V.",E0325088216A,MEDUFX524921,MSMU7924825,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
16/06/2025,343,126/1,PK,23,NANCY,25OT1275,"AMAZONAS, S.A. DE C.V.",SSZACL2504001,MEDUFX525001,BEAU4258768,1,MSC,MSC SOMYA III LO524A,16/06/2025,16/06/2025,19/06/2025,,
9/06/2025,35,1/1,VN,23,MARCELA,25OT1438,"AUTOMAX, S.A. DE C.V.",MB00267,KKLUJPN614847,N/A,N/A,K-KLINE,SEVEN SEAS HIGHWAY  154,21/06/2025,22/06/2025,N/A,,
9/06/2025,35,2/1,VN,23,MARCELA,25OT1445,"DISTRIBUIDORA DE AUTOMOVILES, S.A. DE C.V.",MB00266,KKLUJPN614977,N/A,N/A,K-KLINE,SEVEN SEAS HIGHWAY  154,21/06/2025,22/06/2025,N/A,,
20/06/2025,37,23/1,VN,23,MARCELA,25OT1607,"DISTRIBUIDORA DE AUTOMOVILES, S.A. DE C.V.",MB00272,KKLUJPN615535,N/A,N/A,K-KLINE,GEMINI LEADER 017,23/06/2025,24/06/2025,N/A,,
3/06/2025,316,5/1,PK,23,JONATHAN,25OT873,"JUGUESAL, S.A. DE C.V.",VLC010576,HLCUBC1250382749,FANU1600789,1,HAPAG LLOYD,THE WHALE SHARK 008 E,24/06/2025,26/06/2025,18/06/2025,,
23/06/2025,341,17/1,CT,23,NANCY,25OT1049,D'OFFICE,SYNSHA25SE041182,CHN2177751,SGCU8317875,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,18/06/2025,,
23/06/2025,341,23/1,CT,23,ERNESTO,25OT1264,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE041375,CHN2185801,TCKU4357548,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,25/1,PK,24,ERNESTO,25OT1207 ,"CONSORCIO AUTOMOTRIZ, S.A. DE C.V.",SYNSHA25SE041564,CHN2191990,"CMAU4651129, CMAU6203273, TXGU4022794",3,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,27/1,PK,23,CELINA,25OT1280,"ALMACENES SIMAN, S.A. DE C.V.",SYNSHA25SE041586,CHN2193246,GLDU9946290,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,29/1,PK,23,ERNESTO,25OT1144,"SERVITEK, S.A. DE C.V.",GSZACA25040930,CHN2196162,TIIU5131899,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,30/1,PK,23,ERNESTO,25OT1322,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE041726,CHN2196907,CMAU8281763,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,31/1,CT,23,ERNESTO,25OT1316,"SERVITEK, S.A. DE C.V.",SYNSHA25SE041786,CHN2199170,UETU7121496,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,38/1,PK,23,CELINA,25OT1354,"ALMACENES SIMAN, S.A. DE C.V.",SYNSHA25SE041985,CHN2208887,SEKU5970069,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,43/1,CT,24,ALBERTO,25OT1256,"INTRALOGIX, S.A. DE C.V.",SYNTSN25SE040333,DLN0235018,TRHU2651546,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,54/1,CT,23,NANCY,25OT1298,"FREUND, LTDA. DE C.V.",2504Q001294,GGZ2514651,"TCNU4688690, TRHU5559264",2,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,57/1,PK,23,ERNESTO,25OT943,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNHKG25SE040010,HKA2522709,TCGU0091036,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,58/1,PK,23,ERNESTO,25OT971,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNHKG25SE040007,HKA2524234,UETU7302600,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,61/1,CT,23,ALBERTO,25OT1219,"ALCANCE INTEGRAL EL SALVADOR, S.A. DE C.V.",SYNNKG25SE040040,JNG0246866,TIIU6305228,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,67/1,CT,23,INGRID,25OT998,"CALLEJA, S.A. DE C.V.",SYNNGB25SE040093,NGP2210564,"CMAU4728792, CAAU7629859",2,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,71/1,CT,23,NANCY,25OT1078,"AQUA MARKET, S.A. DE C.V.",SYNNGB25SE040049,NGP2222044,"TGHU6879419, CMAU6205846",2,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,75/1,CT,24,ALBERTO,25OT1102,"INTRALOGIX, S.A. DE C.V.",SYNNGB25SE040281,NGP2235088,FCIU9325331,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,76/1,CT,24,ALBERTO,25OT1105,"INTRALOGIX, S.A. DE C.V.",SYNNGB25SE040285,NGP2235107,TGBU9315302,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,77/1,CT,24,ALBERTO,25OT1104,"INTRALOGIX, S.A. DE C.V.",SYNNGB25SE040284,NGP2235113,TCKU7142327,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,78/1,CT,24,ALBERTO,25OT1107,"INTRALOGIX, S.A. DE C.V.",SYNNGB25SE040288,NGP2238366,SEKU4344796,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,79/1,CT,24,ALBERTO,25OT1106,"INTRALOGIX, S.A. DE C.V.",SYNNGB25SE040287,NGP2238391,TCLU9739279,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,23/06/2025,,
23/06/2025,341,81/1,CT,23,REBECA,25OT1163,"CORBES, S.A. DE C.V.",SYNNGB25SE040473,NGP2244236,"TRHU1105793, CMAU0939035",2,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
23/06/2025,341,87/1,CT,24,ALBERTO,25OT1177,"JURO, S.A. DE C.V.",SYNNGB25SE040833,NGP2254930,BMOU5664658,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
23/06/2025,341,88/1,PK,23,ERNESTO, 25OT1169,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB25SE040772,NGP2254933,APHU6676241,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
23/06/2025,341,90/1,CT,23,MARCELA,25OT1145,"ALMACENES BOU, S.A. DE C.V.",SYNNGB25SE040948,NGP2258237,CAIU3141576,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
23/06/2025,341,92/1,CT,23,ERNESTO,25OT1211,"GRUPO RAMOS, S.A. DE C.V.",SYNNGB25SE041044,NGP2262833,UETU5668355,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,93/1,CT,23,ERNESTO,25OT1212,"GRUPO RAMOS, S.A. DE C.V.",SYNNGB25SE041048,NGP2262835,CMAU7346601,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,100/1,CT,23,NANCY,25OT1248,"AQUA MARKET, S.A. DE C.V.",SYNNGB25SE041222,NGP2269760,CMAU8989897,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,101/1,PK,24,JONATHAN,25OT1226,"POLITORNO DE CENTROAMERICA, S.A. DE C.V.",2504Q001185,NGP2269985,ECMU4901004,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,102/1,CT,23,INGRID,25OT1155,"C IMBERTON, S.A. DE C.V.",SYNNGB25SE041316,NGP2274665,BMOU4581327,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,103/1,CT,23,INGRID,25OT1153,"CORPORACION MERCANTIL SALVADOREÑA, S.A. DE C.V.",SYNNGB25SE041311,NGP2274667,TCNU4589872,1,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
24/06/2025,341,105/1,PK,23,REBECA,25OT1308,"CORBES, S.A. DE C.V.",SYNNGB25SE04137,NGP2282348,"SEGU6309085, CMAU5782761, CMAU4776996, APHU7209750",4,CMA CGM,MAGDALENA SCHULTE 0M30EN1MA,28/06/2025,6/07/2025,24/06/2025,,
25/06/2025,363,96/1,PK,23,SILVIA,25OT221,"JUGUESAL, S.A. DE C.V.",PNGACL2504001,253011022,MRSU6197043,1,MAERSK,GALLOWAY 525S,29/06/2025,30/06/2025,27/06/2025,,
26/06/2025,363,131/1,PK,23,NANCY,25OT1892,"SERPRORE EL SALVADOR, S.A. DE C.V.",SCLO00046175,253812478,MRSU7565690,1,MAERSK,GALLOWAY 525S,29/06/2025,30/06/2025,26/06/2025,,
26/06/2025,363,143/1,PX,23,NANCY,25OT1666,"COPRODISA, S.A. DE C.V.",EMLIM20250097,254195323,"TLLU2498250, SUDU8761920",2,MAERSK,GALLOWAY 525S,29/06/2025,30/06/2025,26/06/2025,,
19/06/2025,337,20/1,PK,23,ERNESTO,25OT1220,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNSHA25SE050023,CHN2191826,CMAU4257429,1,CMA CGM,AS SVENJA 0M102N1MA,30/06/2025,3/07/2025,19/06/2025,,
19/06/2025,337,21/1,CT,23,NANCY,25OT1292,"FREUND DE EL SALVADOR, LTDA DE C.V.",2504Q001259,CHN2194569,TLLU7699724,1,CMA CGM,AS SVENJA 0M102N1MA,30/06/2025,3/07/2025,19/06/2025,,
19/06/2025,337,28/1,PK,23,NANCY,25OT1364,"D´OFFICE, S.A. DE C.V.",SYNSHA25SE050189,CHN2214761,GESU6772881,1,CMA CGM,AS SVENJA 0M102N1MA,30/06/2025,3/07/2025,19/06/2025,,
